"lemma_id","grammar"
"H1166","Conj-w | V-Qal-ConjPerf-2ms | 3fs"
"H1168a","Art | N-mp"
"H1168a","Art | N-proper-ms"
"H1168a","Prep-b, Art | N-proper-ms"
"H1168a","Prep-l, Art | N-proper-ms"
"H1168b","N-proper-fs"
"H1168b","N-proper-ms"
"H1168b","Conj-w | N-proper-ms"
"H1197a","Conj-w | V-Piel-ConjPerf-2ms"
"H1197a","V-Qal-Prtcpl-fs"
"H1197a","V-Qal-Imperf-3ms"
"H1197a","V-Qal-Prtcpl-fp"
"H1197a","Conj-w | V-Hifil-ConsecImperf-3ms"
"H1197a","V-Qal-Perf-3cp"
"H1197a","V-Piel-Imperf-2ms"
"H1197a","V-Piel-Imperf-2mp"
"H1197a","V-Qal-Perf-3fs"
"H1197a","Conj-w | V-Piel-ConjPerf-3ms"
"H1197a","Conj-w | V-Qal-ConjPerf-3cp"
"H1197a","V-Piel-Inf"
"H1197a","V-Hifil-Imperf-2ms"
"H1197a","V-Piel-Perf-1cs | 3fs"
"H1197a","V-Piel-InfAbs"
"H1197a","V-Hifil-Prtcpl-ms"
"H1197a","V-Piel-Imperf-3mp"
"H1197a","V-Piel-Perf-3ms"
"H1197a","V-Qal-Prtcpl-ms"
"H1197a","V-Piel-Perf-1cs"
"H1197a","Conj-w | V-Piel-ConjPerf-3cp"
"H1197a","Prep-l | V-Piel-Inf | 3mp"
"H1197a","Conj-w | V-Qal-ConsecImperf-3fs"
"H1197a","Conj-w | V-Piel-ConjImperf.Cohort-1cp"
"H1197a","V-Piel-Prtcpl-mp"
"H1197a","Conj-w | V-Piel-ConjPerf-1cs"
"H1197a","Conj-w | V-Qal-ConjPerf-3fs"
"H1197a","V-Piel-Perf-2ms"
"H1197a","Art | V-Hifil-Prtcpl-ms"
"H1197a","V-Piel-Perf-2mp"
"H1197a","Prep-l | V-Piel-Inf"
"H1197a","V-Pual-Prtcpl-fs"
"H1197a","Conj-w | V-Qal-ConsecImperf-3ms"
"H1197a","V-Piel-Imperf-3ms"
"H1197a","V-Qal-Imperf-3fs"
"H1197a","Conj-w | V-Hifil-ConjPerf-1cs"
"H1197b","V-Hifil-Imperf.Jus-3ms"
"H1197b","V-Nifal-Prtcpl-fs"
"H1197b","Conj-w | V-Piel-ConjPerf-3ms"
"H1197b","V-Nifal-Perf-3ms"
"H1197b","V-Qal-Prtcpl-mp"
"H1197b","V-Qal-Imperf-3mp"
"H1197b","V-Nifal-Perf-3cp"
"H1208","Art | Adj-ms"
"H1208","Art | N-ms"
"H1238a","V-Qal-Prtcpl-ms"
"H1238b","V-Nifal-Imperf-3fs"
"H1238b","Conj-w | V-Qal-ConjPerf-1cs"
"H1238b","V-Qal-Prtcpl-ms"
"H1238b","Conj-w | V-Nifal-ConjPerf-3fs"
"H1238b","V-Nifal-InfAbs"
"H1238b","V-Qal-Perf-3cp | 3mp"
"H1238b","V-Qal-Prtcpl-mp"
"H1238b","Conj-w | V-Piel-ConjImperf-3mp"
"H1250a","Art | N-ms"
"H1250a","N-ms"
"H1250b","Prep-b, Art | N-ms"
"H1253","Prep-k, Art | N-ms"
"H1254a","Conj-w | V-Qal-ConjPerf-3ms"
"H1254a","V-Qal-Perf-1cs | 3ms"
"H1254a","Conj-w | V-Piel-ConjPerf-2ms | 3ms"
"H1254a","Prep-b | V-Nifal-Inf | 3mp"
"H1254a","V-Qal-Prtcpl-msc"
"H1254a","V-Qal-Perf-3ms"
"H1254a","V-Qal-Imp-ms"
"H1254a","Conj-w | V-Qal-Prtcpl-ms"
"H1254a","V-Nifal-Prtcpl-ms"
"H1254a","V-Qal-Perf-1cs"
"H1254a","V-Qal-Perf-3ms | 1cp"
"H1254a","Conj-w | V-Nifal-ConjPerf-3cp"
"H1254a","V-Qal-Perf-3ms | 3mp"
"H1254a","V-Nifal-Inf | 3mp"
"H1254a","V-Nifal-Perf-2fs"
"H1254a","V-Qal-Imperf-3ms"
"H1254a","V-Qal-Perf-2ms"
"H1254a","V-Qal-Prtcpl-msc | 2ms"
"H1254a","V-Qal-Inf"
"H1254a","V-Qal-Perf-2ms | 3mp"
"H1254a","V-Nifal-Inf | 2ms"
"H1254a","V-Nifal-Perf-3cp"
"H1254a","Conj-w | V-Piel-InfAbs"
"H1254a","V-Qal-Prtcpl-ms"
"H1254a","V-Nifal-Imperf-3mp | Pn"
"H1254a","V-Qal-Perf-3ms | 3fs"
"H1254a","V-Qal-Prtcpl-mpc | 2ms"
"H1254a","Conj-w | V-Qal-ConsecImperf-3ms"
"H1254a","Conj-w | V-Piel-ConjPerf-2ms"
"H1254a","V-Piel-InfAbs"
"H1254b","Prep-l | V-Hifil-Inf | 2mp"
"H1262","V-Qal-Perf-3ms"
"H1268a","N-proper-fs"
"H1268b","Conj-w, Prep-m | N-proper-fs"
"H1274","Adj-fs"
"H1300a","Conj-w | N-mp"
"H1300a","N-ms"
"H1300b","Prep-k, Art | N-mp"
"H1300b","N-ms"
"H1300b","Conj-w | N-ms"
"H1300b","N-mpc | 3ms"
"H1300b","Prep-k, Art | N-ms"
"H1300b","Conj-w | N-msc"
"H1300b","N-msc"
"H1300b","Conj-w | N-mp"
"H1300b","N-mp"
"H1300b","Prep-l | N-ms"
"H1304a","Conj-w | N-fs"
"H1304b","Conj-w | N-fs"
"H1313","N-msc | 1cs"
"H1328a","Prep-l | N-proper-ms"
"H1328a","N-proper-ms"
"H1328a","Conj-w | N-proper-ms"
"H1328b","Conj-w, Prep-b | N-proper-fs"
"H1336","N-ms"
"H1350a","Prep-l | V-Qal-Inf"
"H1350a","V-Qal-Prtcpl-msc | 2fs"
