"id","new_id"
"0101301601","H7760a-077"
"0101301606","H0834a-003"
"0101301607","H0518a-003"
"0101301609","H0376-002"
"0101301701","H6965b-001"
"0101301706","H3588a-005"
"0101301807","H0834a-003"
"0101301808","H2275a-001"
"0101400106","H0746a-002"
"0101400111","H5867a-002"
"0101400114","H1471b-001"
"0101400201","H6213a-063"
"0101400219","H1106b-001"
"0101400507","H0834a-003"
"0101400511","H7497b-002"
"0101400604","H8165a-004"
"0101400607","H0834a-003"
"0101400608","H5921a-006"
"0101400609","H4057b-013"
"0101400710","H7704b-024"
"0101400812","H1106b-001"
"0101400815","H6186a-032"
"0101400904","H5867a-002"
"0101400907","H1471b-001"
"0101400911","H0746a-001"
"0101401110","H3212-017"
"0101401206","H1121a-073"
"0101401209","H3212-017"
"0101401302","H6412a-008"
"0101401403","H3588a-005"
"0101401410","H1004b-018"
"0101401501","H2505a-002"
"0101401502","H5921a-027"
"0101401510","H0834a-003"
"0101401615","H5971a-060"
"0101401705","H0310a-024"
"0101401712","H0834a-003"
"0101401810","H5945b-004"
"0101401906","H5945b-004"
"0101402003","H5945b-004"
"0101402004","H0834a-003"
"0101402006","H6862c-025"
"0101402206","H7311a-040"
"0101402211","H5945b-004"
"0101402301","H0518a-003"
"0101402306","H0518a-002"
"0101402309","H0834a-003"
"0101402403","H0834a-003"
"0101402406","H2506a-011"
"0101402408","H0834a-003"
"0101402416","H2506a-005"
"0101500101","H0310a-029"
"0101500118","H7235a-025"
"0101500211","H1121a-008"
"0101500213","H1004b-074"
"0101500309","H1121a-073"
"0101500310","H1004b-074"
"0101500409","H3588a-005"
"0101500410","H0518a-003"
"0101500411","H0834a-003"
"0101500508","H5608a-026"
"0101500510","H0518a-003"
"0101500512","H5608a-020"
"0101500705","H0834a-003"
"0101500707","H0218b-001"
"0101500803","H3069-001"
"0101500806","H3588a-005"
"0101500905","H5697a-002"
"0101500909","H0352a-007"
"0101501103","H5921a-006"
"0101501206","H5921a-006"
"0101501211","H1419a-009"
"0101501213","H5921a-026"
"0101501305","H3588a-005"
"0101501313","H6031b-039"
"0101501403","H1471a-015"
"0101501404","H0834a-003"
"0101501408","H0310a-001"
"0101501409","H3651c-006"
"0101501412","H1419a-025"
"0101501501","H0859a-005"
"0101501508","H2896a-031"
"0101501605","H3588a-005"
"0101501711","H0834a-003"
"0101501712","H5674a-069"
"0101501818","H1419a-015"
"0101502006","H7497b-001"
"0101502104","H3669a-002"
"0101600216","H4480a-001"
"0101600219","H6963a-034"
"0101600315","H3667a-001"
"0101600319","H0376-028"
"0101600406","H3588a-005"
"0101600410","H5869a-040"
"0101600506","H5921a-018"
"0101600512","H3588a-005"
"0101600515","H5869a-040"
"0101600608","H6213a-038"
"0101600610","H2896a-027"
"0101600611","H5869a-012"
"0101600612","H6031b-037"
"0101600704","H5921a-006"
"0101600705","H5869b-004"
"0101600707","H4057b-014"
"0101600708","H5921a-006"
"0101600709","H5869b-006"
"0101600809","H3212-033"
"0101600908","H6031b-031"
"0101601005","H7235a-025"
"0101601006","H7235a-022"
"0101601010","H5608a-019"
"0101601106","H2030a-004"
"0101601108","H1121a-065"
"0101601112","H3588a-005"
"0101601210","H5921a-015"
"0101601306","H0859a-004"
"0101601309","H3588a-005"
"0101601314","H0310a-005"
"0101601401","H5921a-006"
"0101601402","H3651c-006"
"0101601504","H1121a-065"
"0101601508","H1121a-049"
"0101601509","H0834a-003"
"0101601602","H1121a-073"
"0101700103","H1121a-073"
"0101700205","H7235a-012"
"0101700303","H5921a-006"
"0101700407","H1995a-017"
"0101700408","H1471a-004"
"0101700510","H3588a-005"
"0101700512","H1995a-017"
"0101700513","H1471a-004"
"0101700606","H1471a-014"
"0101700608","H4480a-003"
"0101700701","H6965b-013"
"0101700708","H0310a-013"
"0101700716","H0310a-013"
"0101700804","H0310a-013"
"0101700811","H3667a-001"
"0101700905","H0859a-005"
"0101700909","H0859a-004"
"0101700911","H0310a-013"
"0101701003","H0834a-003"
"0101701009","H0310a-013"
"0101701010","H4135a-015"
"0101701101","H5243b-001"
"0101701201","H1121a-008"
"0101701204","H4135a-013"
"0101701210","H1004b-041"
"0101701214","H1121a-073"
"0101701216","H0834a-003"
"0101701301","H4135a-015"
"0101701302","H4135a-013"
"0101701304","H1004b-073"
"0101701403","H0834a-003"
"0101701405","H4135a-013"
"0101701412","H5971b-001"
"0101701415","H6565a-014"
"0101701512","H3588a-005"
"0101701605","H4480a-001"
"0101701607","H1121a-065"
"0101701610","H1471a-014"
"0101701612","H5971a-051"
"0101701613","H4480a-001"
"0101701703","H5921a-006"
"0101701707","H3820a-026"
"0101701708","H1121a-010"
"0101701712","H0518a-002"
"0101701908","H1121a-065"
"0101701913","H6965b-013"
"0101701920","H0310a-018"
"0101702008","H7235a-041"
"0101702014","H5387a-013"
"0101702017","H1471a-019"
"0101702018","H1419a-025"
"0101702103","H6965b-034"
"0101702106","H0834a-003"
"0101702206","H5921a-010"
"0101702305","H1121a-049"
"0101702309","H1004b-018"
"0101702317","H1004b-064"
"0101702319","H4135a-017"
"0101702326","H0834d-003"
"0101702402","H1121a-073"
"0101702406","H4135a-010"
"0101702502","H1121a-049"
"0101702503","H1121a-073"
"0101702507","H4135a-010"
"0101702604","H4135a-004"
"0101702607","H1121a-049"
"0101702703","H1004b-018"
"0101702705","H1004b-041"
"0101702708","H0854-023"
"0101702709","H1121a-073"
"0101702711","H4135a-014"
"0101800202","H5869a-063"
"0101800208","H5921a-026"
"0101800303","H0518a-003"
"0101800307","H5869a-053"
"0101800310","H5674a-034"
"0101800311","H5921a-010"
"0101800502","H6595a-002"
"0101800505","H3820a-011"
"0101800506","H0310a-029"
"0101800507","H5674a-070"
"0101800508","H3588c-001"
"0101800509","H5921b-001"
"0101800510","H3651b-001"
"0101800511","H5674a-019"
"0101800512","H5921a-006"
"0101800515","H3651c-006"
"0101800516","H6213a-026"
"0101800517","H0834d-003"
"0101800601","H4116a-018"
"0101800607","H4116a-020"
"0101800613","H6213a-115"
"0101800706","H1121a-073"
"0101800709","H2896a-012"
"0101800713","H4116a-018"
"0101800714","H6213a-068"
"0101800802","H2529a-002"
"0101800804","H1121a-008"
"0101800806","H0834a-003"
"0101800807","H6213a-125"
"0101800812","H5921a-027"
